Age Category,Average Finish Time
Men 35-39 years,7.195646922377733
Men 40-44 years,7.1654293640364735
Men 45-49 years,7.168578321043539
Men 50-54 years,7.068627000632961
Men 55-59 years,7.126696224433046
Men 60-64 years,7.212002889991833
Men 65-69 years,7.391769093078759
Men 70-74 years,7.645027837259096
Men 75-79 years,8.06667244367418
Men 80-84 years,8.389108910891089
Men 85-89 years,8.42
Men 90-94 years,10.16
Men 95 years and older,9.213333333333333
Men under 20 years,6.056923076923076
Men: 20-29 years,4.935154639175259
Men: 30-34 years,4.930804020100505
Women under 20 years,5.415
Women: 20-29 years,5.330507812499999
Women: 30-34 years,5.392196721311474
Women: 35-39 years,7.570932687765701
Women: 40-44 years,7.577980335344126
Women: 45-49 years,7.652594894041079
Women: 50-54 years,7.635147885241044
Women: 55-59 years,7.666802507836996
Women: 60-64 years,7.82570627231004
Women: 65-69 years,7.991161890007746
Women: 70-74 years,8.700953608247424
Women: 75-79 years,9.175299145299144
Women: 80-84 years,9.82470588235294
Women: 95 years and older,6.5
