Country,Year,Number of Races
ALG,2015,2
ALG,2016,3
AND,2022,333
ARG,2015,784
ARG,2016,936
ARG,2017,1223
ARG,2018,657
ARG,2019,1003
ARG,2020,230
ARG,2021,415
ARG,2022,342
AUS,2015,2215
AUS,2016,2595
AUS,2017,3295
AUS,2018,3905
AUS,2019,5119
AUS,2020,1652
AUS,2021,3389
AUS,2022,3537
AUT,2015,296
AUT,2016,423
AUT,2017,550
AUT,2018,494
AUT,2019,696
AUT,2020,292
AUT,2021,190
AUT,2022,168
BEL,2015,352
BEL,2016,575
BEL,2017,912
BEL,2018,1629
BEL,2019,1135
BEL,2020,241
BEL,2021,1102
BEL,2022,1227
BIH,2016,5
BIH,2018,5
BIH,2021,67
BOL,2016,19
BOL,2019,2
BRA,2015,566
BRA,2016,451
BRA,2017,458
BRA,2018,803
BRA,2019,690
BRA,2020,162
BRA,2021,10
BRA,2022,16
BRU,2017,101
BRU,2018,67
BUL,2016,3
BUL,2021,37
BUL,2022,94
CAN,2015,2259
CAN,2016,2446
CAN,2017,2634
CAN,2018,3038
CAN,2019,3051
CAN,2020,180
CAN,2021,1219
CAN,2022,2306
CAY,2016,4
CAY,2017,5
CAY,2018,2
CHI,2015,202
CHI,2016,243
CHI,2017,285
CHI,2018,352
CHI,2019,357
CHI,2020,42
CHI,2021,21
CHN,2015,1871
CHN,2016,4767
CHN,2017,8799
CHN,2018,10012
CHN,2019,11352
CHN,2020,7365
CHN,2021,4555
CHN,2022,1150
COL,2015,27
COL,2016,17
COL,2017,25
COL,2018,25
COL,2019,63
CRC,2015,58
CRC,2016,69
CRC,2017,100
CRC,2018,160
CRC,2019,136
CRC,2020,20
CRO,2016,170
CRO,2017,81
CRO,2018,580
CRO,2019,29
CRO,2020,60
CRO,2021,41
CRO,2022,184
CYP,2016,3
CYP,2017,5
CYP,2018,17
CYP,2019,8
CZE,2015,460
CZE,2016,550
CZE,2017,672
CZE,2018,777
CZE,2019,685
CZE,2020,542
CZE,2021,489
CZE,2022,592
DEN,2015,401
DEN,2016,354
DEN,2017,516
DEN,2018,400
DEN,2019,424
DEN,2020,350
DEN,2021,420
DEN,2022,267
DOM,2018,38
DOM,2019,100
ECU,2016,38
ECU,2017,57
ECU,2018,58
ECU,2019,65
EGY,2015,2
EGY,2016,3
EGY,2017,3
EGY,2018,4
EGY,2019,5
ESA,2021,3
ESP,2015,1030
ESP,2016,2449
ESP,2017,884
ESP,2018,1762
ESP,2019,1523
ESP,2020,263
ESP,2021,1974
ESP,2022,808
EST,2015,43
EST,2016,28
EST,2017,54
EST,2018,23
EST,2019,37
EST,2020,81
EST,2021,58
FIN,2015,346
FIN,2016,111
FIN,2017,319
FIN,2018,65
FIN,2019,253
FIN,2020,61
FIN,2021,258
FIN,2022,254
FRA,2015,7040
FRA,2016,7007
FRA,2017,6418
FRA,2018,5039
FRA,2019,5298
FRA,2020,860
FRA,2021,2776
FRA,2022,5523
GBR,2015,4184
GBR,2016,5412
GBR,2017,6758
GBR,2018,7119
GBR,2019,8130
GBR,2020,2366
GBR,2021,7858
GBR,2022,7015
GER,2015,3460
GER,2016,3811
GER,2017,4368
GER,2018,4141
GER,2019,3723
GER,2020,1519
GER,2021,1807
GER,2022,3808
GRE,2015,309
GRE,2016,381
GRE,2017,379
GRE,2018,517
GRE,2019,533
GRE,2020,531
GRE,2021,84
GRE,2022,176
GUA,2016,23
GUA,2017,15
GUA,2018,34
GUA,2019,36
GUA,2020,19
HKG,2015,4607
HKG,2016,4897
HKG,2017,5682
HKG,2018,7277
HKG,2019,5427
HKG,2020,1198
HKG,2021,161
HKG,2022,295
HUN,2015,125
HUN,2016,196
HUN,2017,313
HUN,2018,497
HUN,2019,785
HUN,2020,396
HUN,2021,654
HUN,2022,746
INA,2015,7
INA,2016,20
INA,2017,147
INA,2018,91
INA,2019,91
INA,2020,94
INA,2021,86
INA,2022,71
IND,2015,54
IND,2016,99
IND,2017,265
IND,2018,630
IND,2019,833
IND,2020,76
IND,2021,179
IND,2022,125
IRL,2015,299
IRL,2016,286
IRL,2017,205
IRL,2018,251
IRL,2019,204
IRL,2020,254
IRL,2021,179
IRL,2022,362
ISL,2015,11
ISL,2016,9
ISL,2017,17
ISL,2021,6
ISL,2022,6
ISR,2015,97
ISR,2016,128
ISR,2017,194
ISR,2018,174
ISR,2019,296
ISR,2020,138
ISR,2021,11
ISR,2022,15
ITA,2015,5111
ITA,2016,6087
ITA,2017,7137
ITA,2018,7167
ITA,2019,7842
ITA,2020,734
ITA,2021,4085
ITA,2022,7281
JOR,2015,18
JOR,2017,4
JOR,2018,20
JOR,2019,22
JPN,2015,20330
JPN,2016,19955
JPN,2017,18026
JPN,2018,14090
JPN,2019,18450
JPN,2020,1087
JPN,2021,2022
JPN,2022,10854
KAZ,2017,38
KAZ,2018,47
KAZ,2019,66
KOR,2015,1529
KOR,2016,1611
KOR,2017,1730
KOR,2018,1609
KOR,2019,2597
KOR,2020,143
KOR,2021,526
KOR,2022,1181
KSA,2016,7
KSA,2022,14
LAT,2015,27
LAT,2016,19
LAT,2017,8
LAT,2019,97
LAT,2020,112
LAT,2021,78
LAT,2022,74
LES,2015,34
LES,2016,39
LES,2017,32
LES,2018,53
LES,2019,26
LTU,2018,25
LTU,2019,23
LTU,2020,40
LTU,2021,38
LTU,2022,31
MAR,2018,19
MAS,2015,454
MAS,2016,1311
MAS,2017,1592
MAS,2018,2333
MAS,2019,3189
MAS,2020,565
MAS,2021,225
MAS,2022,1198
MEX,2015,768
MEX,2016,1109
MEX,2017,1715
MEX,2018,1733
MEX,2019,1748
MEX,2020,384
MGL,2015,9
MGL,2016,11
MGL,2017,4
MGL,2018,43
MGL,2019,9
MLI,2016,6
MLT,2018,54
MLT,2019,62
MLT,2020,43
MLT,2021,67
MLT,2022,63
MNE,2015,10
MNE,2021,22
MRI,2015,52
MRI,2016,31
MRI,2017,36
MRI,2018,122
MRI,2019,50
MRI,2020,23
MRI,2021,39
NAM,2015,14
NAM,2016,8
NAM,2017,5
NAM,2018,11
NAM,2019,10
NCA,2015,40
NCA,2016,28
NCA,2017,8
NCA,2018,22
NED,2015,1323
NED,2016,762
NED,2017,711
NED,2018,615
NED,2019,970
NED,2020,132
NED,2021,299
NED,2022,593
NEP,2015,16
NEP,2016,57
NEP,2017,38
NEP,2018,52
NEP,2019,20
NOR,2015,273
NOR,2016,328
NOR,2017,354
NOR,2018,669
NOR,2019,951
NOR,2020,351
NOR,2021,641
NOR,2022,703
NZL,2015,500
NZL,2016,625
NZL,2017,372
NZL,2018,368
NZL,2019,930
NZL,2020,1100
NZL,2021,424
NZL,2022,306
OMA,2015,14
OMA,2016,19
OMA,2017,12
OMA,2018,16
OMA,2019,98
PAR,2015,15
PAR,2016,42
PAR,2017,41
PAR,2018,74
PAR,2020,3
PER,2015,28
PER,2016,32
PER,2017,65
PER,2018,90
PER,2019,116
PER,2021,13
PER,2022,10
PHI,2015,687
PHI,2016,769
PHI,2017,838
PHI,2018,908
PHI,2019,1379
PHI,2020,63
PHI,2021,8
PHI,2022,113
POL,2015,1292
POL,2016,1679
POL,2017,1464
POL,2018,1335
POL,2019,1526
POL,2020,735
POL,2021,729
POL,2022,637
POR,2015,584
POR,2016,1280
POR,2017,1303
POR,2018,1085
POR,2019,387
POR,2020,127
POR,2021,1
POR,2022,50
PUR,2015,12
PUR,2016,14
PUR,2017,12
QAT,2015,35
QAT,2016,17
QAT,2019,30
QAT,2020,29
ROU,2015,109
ROU,2016,134
ROU,2017,222
ROU,2018,441
ROU,2019,312
ROU,2020,34
ROU,2021,32
ROU,2022,242
RSA,2015,10706
RSA,2016,9894
RSA,2017,11457
RSA,2018,12448
RSA,2019,14328
RSA,2020,1898
RSA,2021,553
RSA,2022,144
RUS,2015,291
RUS,2016,473
RUS,2017,574
RUS,2018,793
RUS,2019,1102
RUS,2020,106
RUS,2021,623
RUS,2022,35
SGP,2015,267
SGP,2016,293
SGP,2017,144
SGP,2018,218
SGP,2019,243
SLO,2015,63
SLO,2016,91
SLO,2017,107
SLO,2018,29
SLO,2019,345
SLO,2021,213
SLO,2022,210
SRB,2015,43
SRB,2016,77
SRB,2017,23
SRB,2018,17
SRB,2019,7
SRB,2020,19
SRB,2021,12
SRB,2022,38
SUI,2015,856
SUI,2016,755
SUI,2017,954
SUI,2018,804
SUI,2019,798
SUI,2020,85
SUI,2021,758
SUI,2022,1268
SVK,2015,89
SVK,2016,33
SVK,2017,23
SVK,2018,118
SVK,2019,134
SVK,2020,175
SVK,2021,99
SVK,2022,6
SWE,2015,1214
SWE,2016,939
SWE,2017,1020
SWE,2018,1168
SWE,2019,1312
SWE,2020,680
SWE,2021,1015
SWE,2022,1041
THA,2015,389
THA,2016,669
THA,2017,1659
THA,2018,978
THA,2019,1960
THA,2020,2631
THA,2021,794
THA,2022,2639
TPE,2015,3231
TPE,2016,3093
TPE,2017,2781
TPE,2018,3642
TPE,2019,4258
TPE,2020,3846
TPE,2021,1907
TPE,2022,2445
TUN,2020,34
TUN,2021,43
TUN,2022,68
TUR,2015,14
TUR,2016,118
TUR,2017,53
TUR,2018,132
TUR,2019,30
TUR,2022,28
UAE,2015,18
UAE,2016,29
UAE,2017,102
UAE,2018,43
UAE,2019,55
UAE,2020,48
UAE,2022,56
UKR,2015,29
UKR,2016,59
UKR,2017,114
UKR,2018,111
UKR,2019,163
UKR,2020,165
UKR,2021,192
UKR,2022,3
URU,2015,5
URU,2017,25
URU,2018,23
URU,2019,24
URU,2022,20
USA,2015,40939
USA,2016,43698
USA,2017,45994
USA,2018,48274
USA,2019,54480
USA,2020,20186
USA,2021,41126
USA,2022,44687
VEN,2015,10
VEN,2016,17
VEN,2017,37
VEN,2019,25
VIE,2016,32
VIE,2017,25
VIE,2018,48
VIE,2019,72
VIE,2020,79
VIE,2022,55
